id,tags,rooms,price,is_exclusive,highlighting_level,estate_type,area,address,latitude,longitude,new_bedrooms_count
4803516,"2 pièces, 1 chambre, 52 m², Étage 10/10, Balcon, Ascenseur",2,1600,t,2,Appartement,51.61290322580645,Paris 14ème,48.8339171,2.3288283,0
4803534,"2 pièces, 1 chambre, 28 m², Étage 1/4",2,715,t,2,Appartement,28.6,Versailles,48.8035403,2.1266886,0
4803543,"2 pièces, 1 chambre, 48 m², Étage 2/4",2,1065,f,2,Appartement,48.40909090909091,Versailles,48.8035403,2.1266886,0
4803563,"2 pièces, 1 chambre, 42 m², Étage 0/3, Terrasse, Jardin, Parking, Ascenseur",2,1150,f,2,Appartement,42.5925925925926,Nogent-sur-Marne,48.8387639,2.4916592,0
4803628,"4 pièces, 3 chambres, 121 m², Étage 0/–, Parking, Ascenseur",4,3619,f,2,Appartement,120.63333333333334,Paris 16ème,48.856779,2.2724945,3
4803662,"5 pièces, 4 chambres, 98 m², Étage 3/–, Terrasse, Parking, Ascenseur",5,1960,t,2,Appartement,98.0,Colombes,48.922788,2.2543577,4
4803690,"2 pièces, 1 chambre, 43 m², Étage 1/–, Parking, Ascenseur",2,998,t,2,Appartement,43.391304347826086,Neuilly-Plaisance,48.8608712,2.5060144,0
4806655,"2 pièces, 1 chambre, 45 m², Étage 1/4, Balcon, Ascenseur",2,920,t,2,Appartement,43.80952380952381,Gagny,48.8853708,2.5361783,0
4806721,"2 pièces, 28 m², Étage 2/2, Parking",2,819,t,2,Appartement,28.24137931034483,Neuilly-Plaisance,48.8608712,2.5060144,0
4807334,"1 pièce, 18 m², Étage 2/0",1,500,f,2,Studio,17.857142857142858,Brie-Comte-Robert,48.6904522,2.6166737,0
4807336,"2 pièces, 1 chambre, 44 m², Étage 0/1, Terrasse, Jardin, Parking",2,890,t,2,Appartement,44.5,Chalifert,48.8896421,2.7725465,0
4807348,"3 pièces, 2 chambres, 70 m², Étage 3/6, Parking, Ascenseur",3,2682,t,2,Appartement,70.57894736842105,Neuilly-sur-Seine,48.884683,2.2695658,2
4807407,"3 pièces, 2 chambres, 61 m², Étage 3/10, Balcon",3,1305,t,2,Appartement,62.142857142857146,Montreuil,50.4638918,1.7631125,2
4807411,"3 pièces, 2 chambres, 60 m², Étage 1/2, Terrasse, Parking",3,1230,t,2,Appartement,61.5,Boussy-Saint-Antoine,48.6887478,2.5299905,2
4807415,"1 pièce, 33 m², Étage 4/5",1,1250,t,2,Studio,32.89473684210526,Paris 4ème,48.8510673,2.3670936,0
4807416,"2 pièces, 1 chambre, 43 m², Étage 0/3, Parking, Ascenseur",2,807,f,2,Appartement,42.47368421052632,Juvisy-sur-Orge,48.6904063,2.373809,0
4807423,"3 pièces, 2 chambres, 68 m², Étage 5/8, Balcon, Ascenseur",3,1250,t,2,Appartement,69.44444444444444,Courcouronnes,48.622557,2.411893948759139,2
4809223,"3 pièces, 2 chambres, 66 m², Étage 3/–, Balcon, Terrasse, Ascenseur",3,1120,f,2,Appartement,65.88235294117646,Andrésy,48.9821445,2.0610573,2
4809224,"5 pièces, 3 chambres, 139 m², Étage 6/6, 2 balcons, Terrasse, Ascenseur",5,5750,f,2,Appartement,140.2439024390244,Paris 16ème,48.856779,2.2724945,3
4809232,"2 pièces, 1 chambre, 49 m², Étage 3/6, Ascenseur",2,2600,f,2,Appartement,49.0566037735849,Paris 16ème,48.856779,2.2724945,0
4809242,"2 pièces, 1 chambre, 43 m², Étage 0/3, Parking",2,788,t,2,Appartement,41.47368421052632,Le Plessis-Pâté,48.6116007,2.3256213,0
4809246,"3 pièces, 2 chambres, 63 m², Étage 3/–, Balcon, Parking",3,921,f,2,Appartement,61.4,Melun,48.539927,2.6608169,2
4809247,"5 pièces, 3 chambres, 148 m², Étage 3/4",5,2867,f,2,Appartement,150.89473684210526,Versailles,48.8035403,2.1266886,3
4809249,"4 pièces, 3 chambres, 87 m², Étage 2/–, Parking",4,1495,t,2,Appartement,87.94117647058823,Châtenay-Malabry,48.7670404,2.2775316,3
